customer_id,customer_name,email,registration_date,customer_type
CUST0001,Aryan Maharaj,udantdewan@example.net,2023-12-19,REGULAR
CUST0002,Pahal Balay,chandertejas@example.org,2025-09-05,REGULAR
CUST0003,Rushil Saini,saumyamall@example.org,2024-03-17,REGULAR
CUST0004,Harini Mall,tanveernayar@example.org,2023-12-04,REGULAR
CUST0005,Gunbir Parmer,aishani07@example.net,2024-01-22,PREMIUM
CUST0006,Farhan Memon,rehaan10@example.net,2024-07-01,REGULAR
CUST0007,Fariq Kaul,raiarunima@example.com,2026-03-26,PREMIUM
CUST0008,Nicholas Prabhakar,shaurya41@example.net,2026-03-25,REGULAR
CUST0009,Yash Gade,rraghavan@example.net,2026-06-16,REGULAR
CUST0010,Ekta Bhalla,azadmutti@example.com,2024-08-31,REGULAR
CUST0011,Siddharth Murty,xalakrandhawa@example.net,2025-06-24,REGULAR
CUST0012,Alka Dewan,adyasangha@example.net,2025-03-24,REGULAR
CUST0013,Theodore Devi,wchand@example.org,2023-12-30,REGULAR
CUST0014,Nathaniel Sami,rajanlakshmi@example.net,2025-07-09,REGULAR
CUST0015,Advay Contractor,harini14@example.com,2024-03-14,REGULAR
CUST0016,Aarush Lall,yashicacherian@example.net,2024-10-18,REGULAR
CUST0017,Michael Prakash,aadinaik@example.com,2023-08-12,REGULAR
CUST0018,Janani Mohanty,dalbirkhosla@,2023-11-12,REGULAR
CUST0019,Vedika Biswas,kabirsoman@example.net,2024-03-25,PREMIUM
CUST0020,Pallavi Kakar,devikarastogi@example.net,2026-04-17,REGULAR
CUST0021,Raksha Varughese,pdara@example.org,2023-10-20,PREMIUM
CUST0022,Ansh Karpe,abhimanyubobal@example.net,2026-03-19,REGULAR
CUST0023,Veer Bir,narayananekavir@example.net,2024-07-16,REGULAR
CUST0024,Vedika Kala,urvashikibe@example.com,2025-04-05,REGULAR
CUST0025,Girindra Chatterjee,bpandya@example.com,2025-07-07,VIP
CUST0026,Guneet Bhat,znori@example.org,2024-08-02,REGULAR
CUST0027,Ranveer Yadav,bdey@example.org,2024-09-17,REGULAR
CUST0028,Zaid Borra,dchaudhari@example.net,2025-10-29,REGULAR
CUST0029,Girik Khalsa,niharikasunder@example.com,2024-06-09,PREMIUM
CUST0030,Daniel Gala,yagate@example.com,2025-06-18,REGULAR
CUST0031,Pallavi Sur,ranveerminhas@example.org,2023-10-11,PREMIUM
CUST0032,Dipta Bhandari,soodyadavi@example.net,2024-03-13,PREMIUM
CUST0033,Yashoda Buch,ekapadbir@example.net,2024-07-12,REGULAR
CUST0034,Jagdish Koshy,bumboni@example.net,2026-01-04,VIP
CUST0035,Advika Jayaraman,william46@example.org,2026-05-21,REGULAR
CUST0036,Tanvi Mutti,andratara@example.net,2025-12-03,REGULAR
CUST0037,Ethan Yogi,yashawinilanka@example.org,2025-01-05,PREMIUM
CUST0038,Yash Pingle,nakul78@example.net,2024-10-24,REGULAR
CUST0039,Chandani Chawla,aishanidalia@example.org,2025-11-18,PREMIUM
CUST0040,Anita Manda,hemaljani@example.net,2026-03-24,REGULAR
CUST0041,Yashasvi Suresh,charan16@example.com,2023-09-19,PREMIUM
CUST0042,Gauri De,neel78@example.net,2025-05-07,REGULAR
CUST0043,Isaac Borra,balendrapingle@example.net,2025-11-17,REGULAR
CUST0044,Qushi Datta,morarjanya@example.org,2025-01-18,REGULAR
CUST0045,Zaid Chauhan,niharika92@example.org,2024-03-21,REGULAR
CUST0046,Nitara Bakshi,gaurangisabharwal@example.net,2024-08-01,REGULAR
CUST0047,Nathaniel Chokshi,ebarad@example.org,2024-05-18,REGULAR
CUST0048,Inaya Mody,udantbajwa@example.net,2024-05-08,REGULAR
CUST0049,Falguni Mallick,mallickindali@example.net,2025-09-11,REGULAR
CUST0050,Garima Bala,lalpranav@example.net,2024-08-28,REGULAR
CUST0051,Ikbal Saraf,dipta69@example.net,2024-01-08,REGULAR
CUST0052,Ranveer Kumar,sarinaarav@example.net,2025-10-26,REGULAR
CUST0053,Januja Sankar,narayanandipta@example.net,2024-01-22,REGULAR
CUST0054,Yashica More,znarain@example.net,2024-10-14,VIP
CUST0055,Rehaan Salvi,nghosh@example.net,2024-10-22,REGULAR
CUST0056,Aadi Modi,shivansh69@example.net,2026-04-25,REGULAR
CUST0057,Udyati Sathe,gkala@example.com,2024-04-01,REGULAR
CUST0058,Bhanumati Varma,girik34@example.org,2024-05-17,PREMIUM
CUST0059,Aryan Batra,vaishnavibora@example.com,2025-04-16,REGULAR
CUST0060,Leena Talwar,jkohli@example.net,2026-06-15,REGULAR
CUST0061,Hredhaan Sandal,patrickvasa@example.com,2023-09-29,VIP
CUST0062,Jairaj Shan,ucchalwali@example.net,2026-01-23,REGULAR
CUST0063,Saanvi Thaman,ksehgal@example.net,2025-07-19,REGULAR
CUST0064,Aashi Kota,vedhika34@example.com,2023-11-10,REGULAR
CUST0065,Wahab Magar,ekaja81@example.org,2024-03-03,PREMIUM
CUST0066,Leela Dua,devanshsachdeva@example.com,2024-12-08,PREMIUM
CUST0067,Ojasvi Bhatia,osharamachandran@example.net,2026-06-27,REGULAR
CUST0068,Lajita Sood,pandeychanchal@example.com,2025-04-23,REGULAR
CUST0069,Vinaya Kanda,rajata70@example.com,2024-12-16,REGULAR
CUST0070,Noah Sibal,aviramesh@example.net,2025-12-05,REGULAR
CUST0071,Fiyaz Sangha,triyagopal@example.org,2024-08-20,REGULAR
CUST0072,Falak Kakar,vnarain@example.com,2024-09-17,VIP
CUST0073,Zayyan Bumb,vbahl@example.net,2023-10-01,PREMIUM
CUST0074,Udarsh Biswas,balasubramanianyug@example.org,2023-08-13,REGULAR
CUST0075,William Date,kcontractor@example.org,2025-07-04,REGULAR
CUST0076,Jyoti Ganesh,gadedeepa@example.org,2025-12-27,REGULAR
CUST0077,Devika Prashad,eissac@example.net,2026-06-19,VIP
CUST0078,Harsh Mitra,barmanidika@example.net,2025-05-08,REGULAR
CUST0079,Ekapad Toor,advik67@example.org,2025-05-16,REGULAR
CUST0080,Tripti Dua,ugoda@example.net,2026-04-18,REGULAR
CUST0081,Veda Shroff,uloyal@example.org,2023-11-24,REGULAR
CUST0082,Shravya Kohli,vraghavan@example.org,2025-08-18,REGULAR
CUST0083,Qabil Sura,ishakuruvilla@example.com,2024-09-19,REGULAR
CUST0084,Advaith Varughese,frederickkhurana@example.net,2025-04-04,PREMIUM
CUST0085,Wridesh Soni,ysem@example.org,2023-12-04,REGULAR
CUST0086,Timothy Ravel,daminipillay@example.com,2025-11-18,REGULAR
CUST0087,Pavani Narayanan,sudiksha44@example.com,2024-07-05,VIP
CUST0088,Reyansh Mutti,wasonqasimexample.org,2024-06-13,REGULAR
CUST0089,Aradhana Vohra,harish34@example.org,2025-01-23,REGULAR
